,PIDM,median_household_income,Num_of_Crses,Mean_GPA,Num_of_Unique_Majors,term_code_key,HSGPA_cat,major,ethnicity,gender,region,retrn_2yr,retrn_3yr,retrn_4yr,retrn_5yr,retrn_6yr,grad_3yr,grad_4yr,grad_5yr,grad_6yr,graduated,Study_Year 1 Crse_Name PACS1,Study_Year 1 Crse_Name PACS2,Study_Year 1 Crse_Name ENGR10,Study_Year 1 Crse_Name MATH51,Study_Year 1 Crse_Name MATH53,Study_Year 2 Crse_Name MATH57,Study_Year 2 Crse_Name ENGR20,Study_Year 2 Crse_Name PHYS55,Study_Year 2 Crse_Name MATH55,Study_Year 2 Crse_Name ENGR19,Study_Year 3 Crse_Name ENGR25,Study_Year 3 Crse_Name ENGR181,Study_Year 3 Crse_Name ENGR182,Study_Year 3 Crse_Name CIVL130,Study_Year 3 Crse_Name ENGR30,Study_Year 4 Crse_Name PACS3,Study_Year 4 Crse_Name ENGR182,Study_Year 4 Crse_Name ENGR30,Study_Year 4 Crse_Name ENGR25,Study_Year 4 Crse_Name ENGR181,Study_Year 5 Crse_Name PACS3,Study_Year 5 Crse_Name ENGR182,Study_Year 5 Crse_Name ENGR30,Study_Year 5 Crse_Name MECH140,Study_Year 5 Crse_Name CIVL180
0,1357480,86093.0,45,3.96,2,200581,3.83-4.00,Civil Engineering,4. Asian,M,Western US,1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1,-1.0,-1.0,-1.0,-1.0,4.0,4.0,4.0,-1.0,-1.0,-1.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,4.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,1351869,69223.0,39,2.15,2,200581,3.60-3.82,Computer Information Systems,7. White,M,Eastern US,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,1.7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2,1358334,72430.0,53,2.96,1,200581,3.60-3.82,Mechanical Engineering,7. White,F,Local Market,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,-1.0,-1.0,-1.0,-1.0,3.0,1.0,2.0,4.0,3.0,-1.0,3.3,0.0,-1.0,1.0,-1.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,4.0,-1.0
3,1339594,39301.0,42,3.1000000000000005,2,200581,3.39-3.59,Mechanical Engineering,6. Hispanic/Latino,M,Local Market,1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1,-1.0,-1.0,-1.0,3.7,-1.0,2.7,2.3,3.7,3.7,-1.0,3.0,0.0,-1.0,1.3,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,4.0,-1.0,4.0,-1.0,-1.0
4,1294675,89265.0,35,3.49,4,200581,3.60-3.82,Bioengineering,8. Two or more races,F,Northern CA,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1,-1.0,-1.0,-1.0,-1.0,3.3,4.0,-1.0,3.7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,1343619,39301.0,43,3.33,3,200581,3.60-3.82,Bioengineering,7. White,M,Local Market,1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1,-1.0,-1.0,-1.0,3.3,3.0,3.3,3.0,1.7,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.3,-1.0,-1.0,-1.0,-1.0
6,1334778,77485.0,41,3.02,1,200581,3.60-3.82,Civil Engineering,4. Asian,M,Northern CA,1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1,-1.0,-1.0,-1.0,3.0,2.7,2.3,2.7,3.7,3.0,-1.0,4.0,0.0,0.0,2.3,-1.0,4.0,-1.0,3.3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0
7,1365638,65779.0,54,2.52,3,200581,3.10-3.38,Engineering Management,2. Black or African American,M,Local Market,1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.3,-1.0,4.0,0.0,-1.0,-1.0,-1.0,3.3,0.0,2.3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8,1316171,69223.0,8,2.33,1,200581,3.10-3.38,Computer Science,7. White,M,Western US,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9,1292089,88451.0,40,3.18,1,200581,3.39-3.59,Engineering Management,7. White,F,Northern CA,1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1,-1.0,-1.0,-1.0,3.0,2.7,1.7,3.0,3.7,3.7,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,4.0,-1.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
