PIDM,PR_CITY,PR_STAT_CODE,PR_STAT_DESC,PR_ZIP,PR_NATN_CODE,PR_NATN_DESC
1357480,Ewa Beach,HI,Hawaii,96706,,
1351869,San Francisco,CA,California,94132-3129,,
1358334,Stockton,CA,California,95209-4505,,
1339594,Stockton,CA,California,95207,,
1294675,San Jose,CA,California,95118,,
1343619,Stockton,CA,California,95207-3623,,
1334778,Pleasant Hill,CA,California,94523,,
1365638,Antelope,CA,California,95843,,
1316171,,,,,,
1292089,Millbrae,CA,California,94030,,
1357622,Martinez,CA,California,94553,,
1334630,,,,,,
1363760,,,,,,
1297823,,,,,,
1368941,San Jose,CA,California,95128,,
1333306,San Rafael,CA,California,94901,,
1297998,Milpitas,CA,California,95035,,
1343678,,,,,,
1298265,Sacramento,CA,California,95831,,
1282088,Stockton,CA,California,95219,,
1357050,Redlands,CA,California,92374,,
1330818,,,,,,
1343177,,,,,,
1366576,Sacramento,CA,California,95829,,
1329273,Tucson,AZ,Arizona,85705,,
1296665,San Leandro,CA,California,94577,,
1296302,Centennial,CO,Colorado,80016,,
1338621,San Jose ,CA,California,95131,,
1343138,Sacramento,CA,California,95829-6716,,
1297810,Windsor,CA,California,95492,,
1331290,Reedley,CA,California,93654,,
1322131,Los Banos,CA,California,93635,131.0,UNITED STATES
1330916,,,,,,
1284268,,,,,,
1365022,Poway,CA,California,92064,,
1360578,Honolulu,HI,Hawaii,96822,,
1365712,Elk Grove,CA,California,95757,,
1360411,Stockton,CA,California,95219,,
1258940,San Francisco,CA,California,94132,,
1372531,Manteca,CA,California,95337-7308,,
1372781,San Francisco,CA,California,94116,,
1127653,,,,,,
1365376,Lodi,CA,California,95242,131.0,UNITED STATES
1338520,Camarillo,CA,California,93010,,
1372908,Portola Valley,CA,California,94028,,
1305623,Stockton,CA,California,95212,,
1346467,,,,,,
1342945,San Francisco,CA,California,94109,,
1367261,Modesto,CA,California,95356,,
1367246,,,,,,
1367569,Los Angeles,CA,California,90041,,
1338977,Brea,CA,California,92823,,
1360510,Mililani,HI,Hawaii,96789,,
1370338,Bellevue,WA,Washington,98008,131.0,UNITED STATES
1372153,Belmont,CA,California,94002,,
1375336,,,,,,
1305480,Golden,CO,Colorado,80401,,
1343404,Lodi,CA,California,95242,,
1374734,Boulder,CO,Colorado,80302-5196,,
1290853,Pioneer,CA,California,95666,,
1127656,,,,,,
1292150,Redding,CA,California,96003,,
1371756,Sacramento,CA,California,95822,,
1359855,,,,,,
1375997,Modesto,CA,California,95350-1629,,
1376009,Castro Valley,CA,California,94546,,
1288381,,,,,,
1291645,San Jose,CA,California,95129,,
1288089,Ewa Beach,HI,Hawaii,96706,,
1331277,Livingston,CA,California,95334,,
1339645,,,,,,
1332831,,,,,,
1376928,Modesto,CA,California,95355,,
1376974,,,,,,
1365370,Stockton,CA,California,95205-5503,,
1322837,,,,,,
1287016,Litchfield Park,AZ,Arizona,85340,,
1375004,Stockton,CA,California,95210-5231,,
1364981,Scotts Valley,CA,California,95066,131.0,UNITED STATES
1367157,French Camp,CA,California,95231,,
1365076,Huntington Beach,CA,California,92647,,
1375438,Honolulu,HI,Hawaii,96816,,
1377935,Folsom,CA,California,95630,,
1378085,,,,,,
1365308,,,,,,
1342880,Lakeside,CA,California,92040,,
1368080,San Francisco,CA,California,94110,,
1343110,,,,,,
1247417,Honolulu,HI,Hawaii,96822-5913,,
1338583,,,,,,
1297246,Stockton,CA,California,95204,131.0,UNITED STATES
1329755,,,,,,
1338649,,,,,,
1330799,San Leandro,CA,California,94579-2800,,
1294788,Tracy,CA,California,95377,,
1387727,Carmichael,CA,California,95608,,
1384492,,,,,,
1385345,,,,,,
1378325,,,,,,
1406245,Stockton,CA,California,95210,,
1441471,,,,,,
1441473,,,,,,
1434838,Tracy,CA,California,95376-2336,,
1368857,American Canyon,CA,California,94503,,
1400761,,,,,,
1438801,Oakland,CA,California,94619,,
1434173,Newark,CA,California,94560-2165,,
1409038,Fort Bragg,CA,California,95437,,
1441616,Valley Springs,CA,California,95252,,
1406151,,,,,,
1441075,Honolulu,HI,Hawaii,96816,,
1409115,Honolulu,HI,Hawaii,96825,,
1444440,,,,,,
1399364,,,,,,
1362604,Stockton,CA,California,95205,,
1441003,Upland,CA,California,91784,,
1457845,,,,,,
1451695,,,,,,
1341308,Stockton,CA,California,95212,,
1434109,Reno,NV,Nevada,89521-4361,,
1446237,Ipswich,MA,Massachusetts,1938,,
1448010,,,,,,
1441400,Lodi,CA,California,95242-3861,,
1259327,Stockton,CA,California,95205,,
1463989,Nuzha,,,,70.0,KUWAIT
1467467,Merced,CA,California,95348-2137,,
1386740,San Ramon,CA,California,94583,,
1441552,Santa Fe,NM,New Mexico,87507,,
1389888,Las Vegas,NV,Nevada,89113,131.0,UNITED STATES
1383536,Oakley,CA,California,94561-2268,,
1286036,Palos Verdes Estates,CA,California,90274,,
1408802,,,,,,
1436550,South San Francisco,CA,California,94080,,
1358934,Aiea,HI,Hawaii,96701-2833,,
1334318,Stockton,CA,California,95210,,
1426986,,,,,,
