PIDM,DISCIPLINE,term_code_key,degc_code,HSGPA_cat,HSGPA,major,college,ethnicity,gender,region,retrn_cohort,grad_cohort,retrn_2yr,retrn_3yr,retrn_4yr,retrn_5yr,retrn_6yr,grad_3yr,grad_4yr,grad_5yr,grad_6yr
1357480,SOECS,200581,BSCE1,3.83-4.00,3.94,Civil Engineering,SOECS,4. Asian,M,Western US,1,1,1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
1351869,SOECS,200581,BS,3.60-3.82,3.65,Computer Information Systems,SOECS,7. White,M,Eastern US,1,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1358334,SOECS,200581,BSME1,3.60-3.82,3.76,Mechanical Engineering,SOECS,7. White,F,Local Market,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1339594,SOECS,200581,BSME1,3.39-3.59,3.5,Mechanical Engineering,SOECS,6. Hispanic/Latino,M,Local Market,1,1,1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
1294675,SOECS,200581,BSBE,3.60-3.82,3.71,Bioengineering,SOECS,8. Two or more races,F,Northern CA,1,1,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
1343619,SOECS,200581,BSBE,3.60-3.82,3.66,Bioengineering,SOECS,7. White,M,Local Market,1,1,1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
1334778,SOECS,200581,BSCE1,3.60-3.82,3.63,Civil Engineering,SOECS,4. Asian,M,Northern CA,1,1,1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
1365638,SOECS,200581,BSEM,3.10-3.38,3.28,Engineering Management,SOECS,2. Black or African American,M,Local Market,1,1,1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
1316171,SOECS,200581,BS,3.10-3.38,3.33,Computer Science,SOECS,7. White,M,Western US,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1292089,SOECS,200581,BSEM,3.39-3.59,3.54,Engineering Management,SOECS,7. White,F,Northern CA,1,1,1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
1357622,SOECS,200581,BSME1,3.83-4.00,3.86,Mechanical Engineering,SOECS,7. White,M,Northern CA,1,1,1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
1334630,SOECS,200581,BSBE,3.83-4.00,4.0,Bioengineering,SOECS,7. White,M,Local Market,1,1,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
1363760,SOECS,200581,BSEM,3.39-3.59,3.42,Engineering Management,SOECS,7. White,M,Local Market,1,1,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
1297823,SOECS,200581,BSME1,3.60-3.82,3.74,Mechanical Engineering,SOECS,6. Hispanic/Latino,M,Local Market,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1368941,SOECS,200581,BSBE,3.60-3.82,3.69,Bioengineering,SOECS,7. White,M,Northern CA,1,1,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
